Qoil,Qwater,Qgas,BHP,WHP,WHT,Tsep,Psep,Choke_in
1108.9,1663.3,2.77,5114.68,2217.26,133.98,79.01,600,0.42
590.2,2361,1.48,5187.74,1817.41,140.5,84.65,600,0.42
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,100,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,100,0.54
2240.7,1493.8,5.6,4841.81,2182.15,144.29,88.06,100,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,100,0.54
844.5,3378.1,2.11,5008.27,1598.62,157.41,102.45,100,0.54
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,200,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,200,0.54
2240.7,1493.8,5.6,4841.82,2182.15,144.29,88.06,200,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,200,0.54
844.5,3378.1,2.11,5008.27,1598.62,157.41,102.45,200,0.54
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,300,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,300,0.54
2240.7,1493.8,5.6,4841.82,2182.15,144.29,88.06,300,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,300,0.54
844.5,3378.1,2.11,5008.27,1598.62,157.41,102.45,300,0.54
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,400,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,400,0.54
2240.7,1493.8,5.6,4841.82,2182.15,144.29,88.06,400,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,400,0.54
844.5,3378.1,2.11,5008.27,1598.62,157.41,102.45,400,0.54
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,500,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,500,0.54
2240.7,1493.8,5.6,4841.82,2182.15,144.29,88.06,500,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,500,0.54
844.5,3378.1,2.11,5008.27,1598.62,157.41,102.45,500,0.54
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,600,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,600,0.54
2240.7,1493.8,5.6,4841.81,2182.15,144.29,88.06,600,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,600,0.54
844.5,3378.1,2.11,5008.27,1598.63,157.41,102.45,600,0.54
4486.8,0,11.22,4650.92,2085.15,144.13,87.8,100,0.7
3692.6,923.1,9.23,4567.73,1938.75,150.02,93.95,100,0.7
2928.5,1952.4,7.32,4595.59,1808.98,156.67,101.61,100,0.7
2081.7,3122.5,5.2,4673.84,1628.99,162.97,109.71,100,0.7
1116.6,4466.5,2.79,4814.61,1327.81,168.83,118.01,100,0.7
4486.8,0,11.22,4650.92,2085.15,144.13,87.8,200,0.7
3692.6,923.1,9.23,4567.73,1938.75,150.02,93.95,200,0.7
2928.5,1952.4,7.32,4595.59,1808.98,156.67,101.61,200,0.7
2081.7,3122.5,5.2,4673.84,1628.99,162.97,109.71,200,0.7
1116.6,4466.5,2.79,4814.61,1327.81,168.83,118.01,200,0.7
4486.8,0,11.22,4650.92,2085.15,144.13,87.8,300,0.7
3692.6,923.1,9.23,4567.73,1938.75,150.02,93.95,300,0.7
2928.5,1952.4,7.32,4595.59,1808.98,156.67,101.61,300,0.7
2081.7,3122.5,5.2,4673.84,1628.99,162.97,109.71,300,0.7
1116.6,4466.5,2.79,4814.61,1327.82,168.83,118.01,300,0.7
4486.8,0,11.22,4650.93,2085.15,144.13,87.8,400,0.7
3692.6,923.2,9.23,4567.73,1938.75,150.02,93.95,400,0.7
2928.5,1952.4,7.32,4595.59,1808.98,156.67,101.61,400,0.7
2081.7,3122.5,5.2,4673.84,1628.99,162.97,109.71,400,0.7
1116.6,4466.5,2.79,4814.61,1327.82,168.83,118.01,400,0.7
4486.8,0,11.22,4650.92,2085.15,144.13,87.8,500,0.7
3692.6,923.1,9.23,4567.73,1938.75,150.02,93.95,500,0.7
2928.5,1952.4,7.32,4595.59,1808.98,156.67,101.61,500,0.7
2081.7,3122.5,5.2,4673.84,1628.99,162.97,109.71,500,0.7
1116.6,4466.5,2.79,4814.61,1327.82,168.83,118.01,500,0.7
4486.8,0,11.22,4650.92,2085.15,144.13,87.8,600,0.7
3692.6,923.1,9.23,4567.73,1938.75,150.02,93.95,600,0.7
2928.5,1952.4,7.32,4595.59,1808.98,156.67,101.61,600,0.7
2081.7,3122.5,5.2,4673.84,1628.99,162.97,109.71,600,0.7
1115.8,4463,2.79,4815.23,1328.67,168.8,117.97,600,0.7
5340.1,0,13.35,4450.76,1672.78,152.21,96.34,100,0.9
4385.4,1096.3,10.96,4354.66,1547.53,157.77,102.98,100,0.9
3491.9,2327.9,8.73,4387.91,1441.61,164.24,111.41,100,0.9
2499.8,3749.7,6.25,4478.85,1295.74,170.25,120.1,100,0.9
1352.9,5411.5,3.38,4645.18,1047.5,176.05,129.09,100,0.9
5340.1,0,13.35,4450.76,1672.78,152.21,96.34,200,0.9
4385.4,1096.3,10.96,4354.66,1547.53,157.77,102.98,200,0.9
3491.9,2327.9,8.73,4387.91,1441.61,164.24,111.41,200,0.9
2499.8,3749.7,6.25,4478.85,1295.74,170.25,120.1,200,0.9
1352.9,5411.5,3.38,4645.18,1047.5,176.05,129.09,200,0.9
5340.1,0,13.35,4450.76,1672.78,152.21,96.34,300,0.9
4385.4,1096.3,10.96,4354.66,1547.53,157.77,102.98,300,0.9
3491.9,2327.9,8.73,4387.91,1441.61,164.24,111.41,300,0.9
2499.8,3749.7,6.25,4478.85,1295.74,170.25,120.1,300,0.9
1352.9,5411.5,3.38,4645.18,1047.5,176.05,129.09,300,0.9
5340.1,0,13.35,4450.76,1672.78,152.21,96.34,400,0.9
4385.4,1096.3,10.96,4354.66,1547.53,157.77,102.98,400,0.9
3491.9,2327.9,8.73,4387.91,1441.61,164.24,111.41,400,0.9
2499.8,3749.7,6.25,4478.85,1295.74,170.25,120.1,400,0.9
1352.9,5411.5,3.38,4645.18,1047.5,176.05,129.09,400,0.9
5340.1,0,13.35,4450.76,1672.78,152.21,96.34,500,0.9
4385.4,1096.3,10.96,4354.66,1547.53,157.77,102.98,500,0.9
3491.9,2327.9,8.73,4387.91,1441.61,164.24,111.41,500,0.9
2499.8,3749.7,6.25,4478.85,1295.74,170.25,120.1,500,0.9
1350.7,5402.9,3.38,4646.72,1050.27,176,129,500,0.9
5340.1,0,13.35,4450.76,1672.78,152.21,96.34,600,0.9
4385.4,1096.3,10.96,4354.66,1547.53,157.77,102.98,600,0.9
3491.9,2327.9,8.73,4387.93,1441.63,164.24,111.41,600,0.9
2498.5,3747.7,6.25,4479.46,1296.91,170.23,120.07,600,0.9
1334,5335.9,3.34,4658.79,1071.75,175.56,128.3,600,0.9
